Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price,Datetime,Date
1452988800,387.8,387.8,385,385,155.15171288,59823.16961,385.57853148,2016-01-17T00:00:00Z,2016-01-17
1453248000,376.9,376.91,376.73,376.73,19.96330447,7523.5098905,376.86696117,2016-01-20T00:00:00Z,2016-01-20
1453334400,418.9,418.9,415.81,417.7,94.80454937,39460.793308,416.23311929,2016-01-21T00:00:00Z,2016-01-21
1453420800,409.42,409.78,409.42,409.56,1.38946009,569.19056092,409.64872976,2016-01-22T00:00:00Z,2016-01-22
1453507200,382.85,382.85,382.55,382.85,0.46299186,177.2264336,382.78520404,2016-01-23T00:00:00Z,2016-01-23
1453593600,386.37,386.37,385.36,385.36,0.11096233,42.79180717,385.64265161,2016-01-24T00:00:00Z,2016-01-24
1453766400,390.1,391.1,390.1,391.1,5.10717935,1997.1953368,391.05643252,2016-01-26T00:00:00Z,2016-01-26
1453852800,391.77,392.3,391.77,392.24,0.87765431,344.25120757,392.24009231,2016-01-27T00:00:00Z,2016-01-27
1453939200,394.62,394.98,394.62,394.98,1.47544512,582.3712153,394.70882882,2016-01-28T00:00:00Z,2016-01-28
1454025600,379.55,379.55,379.55,379.55,0.087,33.02085,379.55,2016-01-29T00:00:00Z,2016-01-29
1454112000,378.12,378.35,378.12,378.35,0.31896491,120.64991555,378.25450941,2016-01-30T00:00:00Z,2016-01-30
1454198400,376.38,376.38,376.38,376.38,0.06,22.5828,376.38,2016-01-31T00:00:00Z,2016-01-31
1454284800,368.49,369.16,368.49,369.16,30.36,11187.9404,368.50923584,2016-02-01T00:00:00Z,2016-02-01
1454544000,368.4,368.42,368.4,368.42,2.165,797.60765,368.41,2016-02-04T00:00:00Z,2016-02-04
1454630400,388,388,388,388,0.4455748,172.8830224,388,2016-02-05T00:00:00Z,2016-02-05
1454803200,375.39,375.98,375.39,375.98,3.05864374,1148.6318349,375.53632673,2016-02-07T00:00:00Z,2016-02-07
1454889600,375,375,375,375,0.136,51,375,2016-02-08T00:00:00Z,2016-02-08
1454976000,370.95,370.95,370.95,370.95,0.1349458,50.05814451,370.95,2016-02-09T00:00:00Z,2016-02-09
1455148800,379.34,379.88,379.34,379.88,30.72379957,11669.196755,379.80968887,2016-02-11T00:00:00Z,2016-02-11
1455235200,377.98,377.98,377.8,377.8,0.51787644,195.65632209,377.80502641,2016-02-12T00:00:00Z,2016-02-12
1455321600,383,383,383,383,0.3246,124.3218,383,2016-02-13T00:00:00Z,2016-02-13
1455408000,390.99,391.04,390.99,391.04,9.79244846,3828.7908437,390.99422982,2016-02-14T00:00:00Z,2016-02-14
1455494400,405.5,405.56,405.5,405.56,19.77885974,8021.4535976,405.55692811,2016-02-15T00:00:00Z,2016-02-15
1455753600,415.59,415.59,415.57,415.57,0.39114498,162.55419934,415.58554411,2016-02-18T00:00:00Z,2016-02-18
1455840000,421.15,421.15,420.49,421.14,4.37302932,1841.6394698,421.13586145,2016-02-19T00:00:00Z,2016-02-19
1455926400,419.98,419.98,419.98,419.98,0.90218988,378.9017058,419.98,2016-02-20T00:00:00Z,2016-02-20
1456012800,434.63,434.63,434.51,434.62,14.9819194,6511.4777224,434.62239708,2016-02-21T00:00:00Z,2016-02-21
1456099200,438.33,438.56,438.33,438.56,1.581,693.33092422,438.53948401,2016-02-22T00:00:00Z,2016-02-22
1456185600,438.26,438.26,438.26,438.26,0.29669488,130.02949811,438.26,2016-02-23T00:00:00Z,2016-02-23
1456272000,419.1,419.52,419.1,419.52,2.61189173,1094.8237889,419.16890212,2016-02-24T00:00:00Z,2016-02-24
1456358400,423.79,423.79,423.79,423.79,1.0658723,451.70602202,423.79,2016-02-25T00:00:00Z,2016-02-25
1456444800,423.38,423.51,423.35,423.51,1.30428288,552.24364251,423.40787491,2016-02-26T00:00:00Z,2016-02-26
1456531200,432,432,432,432,22.98559009,9929.7749189,432,2016-02-27T00:00:00Z,2016-02-27
1456704000,430.26,430.26,430.26,430.26,0.11244082,48.378787213,430.26,2016-02-29T00:00:00Z,2016-02-29
1456790400,436.75,436.75,436.75,436.75,4.28819583,1872.8695288,436.75,2016-03-01T00:00:00Z,2016-03-01
1456876800,433.33,433.33,433.33,433.33,0.13811645,59.850001279,433.33,2016-03-02T00:00:00Z,2016-03-02
1456963200,422.4,422.4,421.64,422.23,4.38930831,1851.3291879,421.78153302,2016-03-03T00:00:00Z,2016-03-03
1457049600,420.29,420.31,420.29,420.31,0.53302282,224.02841198,420.2979752,2016-03-04T00:00:00Z,2016-03-04
1457136000,408.18,408.18,408.18,408.18,0.01828318,7.4628284124,408.18,2016-03-05T00:00:00Z,2016-03-05
1457308800,406.15,406.23,406.15,406.23,0.79455499,322.76632466,406.22276459,2016-03-07T00:00:00Z,2016-03-07
1457395200,413.96,413.96,413.96,413.96,0.55050637,227.88761693,413.96,2016-03-08T00:00:00Z,2016-03-08
1457481600,412.14,412.14,412.14,412.14,7.2594,2991.889116,412.14,2016-03-09T00:00:00Z,2016-03-09
1457568000,412.99,412.99,412.99,412.99,0.434,179.23766,412.99,2016-03-10T00:00:00Z,2016-03-10
1457654400,416,416,416,416,13.20110842,5491.6611027,416,2016-03-11T00:00:00Z,2016-03-11
1457740800,419.14,420.07,419.14,420.07,0.12296366,51.611494656,419.72965554,2016-03-12T00:00:00Z,2016-03-12
1457827200,409.95,409.95,409.95,409.95,0.846,346.8177,409.95,2016-03-13T00:00:00Z,2016-03-13
1457913600,412.99,412.99,412.99,412.99,0.108,44.60292,412.99,2016-03-14T00:00:00Z,2016-03-14
1458000000,414.83,414.83,414.37,414.37,1.03545006,429.07463773,414.3846761,2016-03-15T00:00:00Z,2016-03-15
1458086400,415.84,415.84,415.84,415.84,0.834,346.81056,415.84,2016-03-16T00:00:00Z,2016-03-16
1458172800,416.52,416.57,416.52,416.57,1.99884527,832.65392149,416.56747223,2016-03-17T00:00:00Z,2016-03-17
1458259200,418.47,418.47,417.58,417.65,4.36042135,1822.1061887,417.87388016,2016-03-18T00:00:00Z,2016-03-18
